"label","area","perimeter","axis_major_length","sample","genotype","plant_num","side","rep_num","time"
12,401.16375,77.988791437243,27.8935096468244,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
13,385.425625,73.6618361750729,23.5958540612076,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
14,257.196875,67.2271644662754,25.9131082336353,"RIC P1 abaxial_2","RIC","P1","abaxial","2","week3"
1,264.168125,62.5194480196478,22.4344565645579,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
2,308.425,72.3945003206741,28.499571068772,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
3,245.68375,65.3098286118766,25.6384192254995,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
4,301.665,70.8252615051316,27.4165439622185,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
5,213.679375,55.6386868351903,19.4736930971478,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
6,223.608125,66.9252615051316,27.7280344783934,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
7,307.685625,65.9733585439879,23.5770304304428,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
8,230.89625,60.0445003206742,22.8587529680339,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
9,236.283125,60.8386868351903,23.3174736208386,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
10,288.250625,65.9271644662754,23.5988095932985,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
11,265.11875,65.5790674274191,25.3852292317609,"RIC P1 adaxial_1","RIC","P1","adaxial","1","week3"
1,250.12,60.7406943983867,21.9801485055666,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
2,282.86375,68.3367838740466,25.7853340502574,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
3,209.56,58.0347763108502,22.9068469942335,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
4,196.779375,62.3290674274191,25.6714643715503,"RIC P1 adaxial_2","RIC","P1","adaxial","2","week3"
